year,month,carbon,suicide
2016,1,402.73,49.41090164
2016,2,404.25,48.73144
2016,3,405.06,49.21387597
2016,4,407.6,50.29751938
2016,5,407.9,49.03209302
2016,6,406.99,49.48677165
2016,7,404.59,50.29295181
2016,8,402.45,50.86480916
2016,9,401.23,50.07153846
2016,10,401.79,48.67790698
2016,11,403.72,48.67770492
2016,12,404.64,46.48983471
2017,1,406.36,48.2502381
2017,2,406.66,48.87451613
2017,3,407.54,49.12085271
2017,4,409.22,51.42240602
2017,5,409.89,51.37389706
2017,6,409.08,52.06963504
2017,7,407.33,51.42066176
2017,8,405.32,51.78525926
2017,9,403.57,51.46466667
2017,10,403.82,51.35257576
2017,11,405.31,49.24271318
2017,12,407,48.57038217
2018,1,408.15,50.33456693
2018,2,408.52,51.68170543
2018,3,409.59,48.9694697
2018,4,410.45,50.40733333
2018,5,411.44,51.68679104
2018,6,410.99,53.74014493
2018,7,408.9,52.46464286
2018,8,407.16,52.36189781
2018,9,405.71,52.16768116
2018,10,406.19,52.46676923
2018,11,408.21,49.49570313
2018,12,409.27,49.60360656
2019,1,411.03,50.33864
2019,2,411.96,51.00725806
2019,3,412.18,51.37646707
2019,4,413.54,51.54985294
2019,5,414.86,50.77007634
2019,6,414.16,50.7984058
2019,7,411.97,51.84397059
2019,8,410.18,51.24867647
2019,9,408.76,51.73613139
2019,10,408.75,51.41320611
2019,11,410.48,49.44307087
2019,12,411.98,47.78335938
2020,1,413.61,50.34603053
2020,2,414.34,50.13835052
2020,3,414.74,49.65712121
2020,4,416.45,47.28032
2020,5,417.31,48.10740506
2020,6,416.6,50.22440299
2020,7,414.62,50.88573529
2020,8,412.78,50.62181818
2020,9,411.52,49.31808824
2020,10,411.51,48.72419847
2020,11,413.12,49.496875
2020,12,414.26,49.69163793
2021,1,415.52,48.19376543
2021,2,416.75,49.76269231
2021,3,417.64,49.65818182
2021,4,419.05,48.12984615
2021,5,419.13,50.47714286
2021,6,418.94,50.43255474
2021,7,416.96,50.69421053
2021,8,414.47,52.15698529
2021,9,413.3,51.55095588
2021,10,413.93,51.51840237